Open Time,Open,High,Low,Close,Volume
2024-11-29 02:12:00,3.25840000,3.29980000,3.25640000,3.28670000,188360.00000000
2024-11-29 02:15:00,3.28680000,3.34040000,3.28040000,3.32980000,337351.90000000
2024-11-29 02:18:00,3.32990000,3.35390000,3.29850000,3.31520000,315910.90000000
2024-11-29 02:21:00,3.31610000,3.35000000,3.29870000,3.33650000,220439.90000000
2024-11-29 02:24:00,3.33690000,3.34250000,3.32090000,3.32340000,108296.30000000
2024-11-29 02:27:00,3.32270000,3.36060000,3.32000000,3.35080000,143348.10000000
2024-11-29 02:30:00,3.35010000,3.37160000,3.33440000,3.37000000,241697.60000000
2024-11-29 02:33:00,3.37020000,3.37020000,3.35150000,3.35620000,182104.40000000
2024-11-29 02:36:00,3.35730000,3.36070000,3.32200000,3.35290000,206106.20000000
2024-11-29 02:39:00,3.35300000,3.39770000,3.35220000,3.39470000,374694.10000000
2024-11-29 02:42:00,3.39450000,3.39450000,3.36360000,3.38220000,359009.80000000
2024-11-29 02:45:00,3.38160000,3.38190000,3.34750000,3.34940000,177015.60000000
2024-11-29 02:48:00,3.34810000,3.37700000,3.34330000,3.34600000,127139.90000000
2024-11-29 02:51:00,3.34460000,3.34980000,3.32080000,3.33440000,131662.20000000
2024-11-29 02:54:00,3.33450000,3.33860000,3.32000000,3.32840000,103426.80000000
2024-11-29 02:57:00,3.32770000,3.34470000,3.32160000,3.34340000,120049.90000000
2024-11-29 03:00:00,3.34360000,3.34590000,3.31050000,3.31590000,71477.80000000
2024-11-29 03:03:00,3.31810000,3.33930000,3.31810000,3.33470000,66820.50000000
2024-11-29 03:06:00,3.33410000,3.33570000,3.30100000,3.30860000,139351.50000000
2024-11-29 03:09:00,3.30890000,3.31500000,3.30160000,3.31020000,112930.60000000
2024-11-29 03:12:00,3.30990000,3.31490000,3.30500000,3.31430000,113440.60000000
2024-11-29 03:15:00,3.31450000,3.31490000,3.30270000,3.30890000,94895.20000000
2024-11-29 03:18:00,3.30920000,3.31490000,3.30670000,3.31310000,86415.00000000
2024-11-29 03:21:00,3.31360000,3.31490000,3.30710000,3.30770000,93433.70000000
2024-11-29 03:24:00,3.30710000,3.31490000,3.30260000,3.31120000,138418.30000000
2024-11-29 03:27:00,3.31120000,3.31470000,3.30800000,3.31120000,53783.00000000
2024-11-29 03:30:00,3.31120000,3.31200000,3.28500000,3.28900000,126484.20000000
2024-11-29 03:33:00,3.28900000,3.29660000,3.27850000,3.28000000,128579.90000000
2024-11-29 03:36:00,3.27990000,3.29230000,3.24490000,3.26220000,258735.90000000
2024-11-29 03:39:00,3.26180000,3.28650000,3.24480000,3.28480000,138830.40000000
2024-11-29 03:42:00,3.28450000,3.28450000,3.26500000,3.26700000,66090.90000000
2024-11-29 03:45:00,3.26690000,3.27870000,3.21040000,3.23420000,285293.90000000
2024-11-29 03:48:00,3.23430000,3.23700000,3.20880000,3.20980000,194701.30000000
2024-11-29 03:51:00,3.20980000,3.25510000,3.20980000,3.24810000,205574.50000000
2024-11-29 03:54:00,3.24810000,3.25910000,3.23000000,3.23660000,110838.40000000
2024-11-29 03:57:00,3.23710000,3.24620000,3.23000000,3.23270000,63084.90000000
2024-11-29 04:00:00,3.23270000,3.23320000,3.19000000,3.22490000,286043.40000000
2024-11-29 04:03:00,3.22470000,3.24740000,3.22000000,3.24150000,149259.80000000
2024-11-29 04:06:00,3.24150000,3.24150000,3.22050000,3.22270000,185292.30000000
2024-11-29 04:09:00,3.22270000,3.22680000,3.20000000,3.20520000,314147.00000000
2024-11-29 04:12:00,3.20470000,3.22000000,3.19790000,3.21690000,154361.50000000
2024-11-29 04:15:00,3.21620000,3.22000000,3.20490000,3.21930000,235932.70000000
2024-11-29 04:18:00,3.21880000,3.22000000,3.19000000,3.19590000,208879.20000000
2024-11-29 04:21:00,3.19580000,3.19820000,3.14100000,3.18800000,778619.90000000
2024-11-29 04:24:00,3.18840000,3.20690000,3.18000000,3.19410000,226498.40000000
2024-11-29 04:27:00,3.19340000,3.19990000,3.14430000,3.18380000,605127.50000000
2024-11-29 04:30:00,3.18380000,3.18850000,3.11560000,3.11620000,591649.90000000
2024-11-29 04:33:00,3.11620000,3.12110000,3.00250000,3.07550000,1501822.50000000
2024-11-29 04:36:00,3.07550000,3.14200000,3.07000000,3.10160000,421753.80000000
2024-11-29 04:39:00,3.10150000,3.11910000,3.08830000,3.08930000,245349.90000000
2024-11-29 04:42:00,3.08840000,3.11980000,3.08700000,3.11220000,188541.60000000
2024-11-29 04:45:00,3.11200000,3.11770000,3.09160000,3.09410000,204492.90000000
